Number|Description|Qty|Estimate Amount|Taxes|Replacement Cost Total|Age / Cond. / Life|Less Depreciation|Actual Cash Value|Paid|Estimated Remaining|Page Number
1|DYPASA, Garbage Can 1.6 Gal with Foot Pedal Stainless Steel|1.00 EA|$95.00|$7.96|$102.96|2y/Avg./10y|-$20.59|$82.37|$0.00|$20.59|
2|LuxenHome, 2 Pieces Metal Wall Art Multi-Color Circles Abstract|1.00 EA|$78.99|$6.62|$85.61|1.75 y/ Avg. /10 y|-$14.98|$70.63|$0.00|$14.98|
3|Trinx, "Simply Grateful Black White" Frame 30"H X 30" W|1.00 EA|$57.99|$4.86|$62.85|3.5 y/ Avg. /10 y|-$22.00|$40.85|$0.00|$22.00|
4|Zazzle, Daisies Retro Floral Pattern White Black Bath Towel|1.00 EA|$55.04|$4.61|$59.65|2y/Avg./5y|-$23.86|$35.79|$0.00|$23.86|
5|Generic, Toilet Paper Holder Stand Shelf|1.00 EA|$39.99|$3.35|$43.34|4y/Avg./10y|-$17.34|$26.00|$0.00|$17.34|
6|Deco 79, Ceramic Circles Pillar Candle Lantern|1.00 EA|$39.99|$3.35|$43.34|4y/Avg./10y|-$17.34|$26.00|$0.00|$17.34|
7|Daves Décor Vintage, "Bless This Home With Love 'Vintage Metal Frame|1.00 EA|$34.88|$2.92|$37.80|2.5 y/ Avg. /10 y|-$9.45|$28.35|$0.00|$9.45|
8|Hamitor, Toilet Brush Holder Set: Stainless Steel|1.00 EA|$19.99|$1.67|$21.66|2.5 y/ Avg. /10 y|-$5.42|$16.24|$0.00|$5.42|
9|Cottonelle, Toilet Paper Pack Of4 Rolls|1.00 EA|$16.99|$1.42|$18.41|0.5y/ Avg. /0 y|-$0.00|$18.41|$0.00|$0.00|
10|Softsoap, Liquid Hand Soap Pump, Fresh Breeze 221 ML|1.00 EA|$3.99|$0.33|$4.32|0.5y/ Avg. /0 y|-$0.00|$4.32|$0.00|$0.00|
11|Weber, Natural Gas Grill|1.00 EA|$682.80|$57.18|$739.98|8 y/ Avg. / 12 y|-$493.32|$246.66|$0.00|$493.32|
12|Benjara, BM194960 fabric upholstered wooden Parson chair with paisley Verified, Home Depot|2.00 EA|$1,090.00|$91.29|$1,181.29|5 y/ Avg. /10 y|-$590.65|$590.64|$0.00|$590.65|
13|Acer, Aspire One|2.00 EA|$699.98|$58.62|$758.60|5 y/ Avg. /4.5 y|-$606.88|$151.72|$0.00|$606.88|
14|Apple, IPad 10th Generation|2.00 EA|$698.00|$58.46|$756.46|2.5 y/ Avg. /4.5 y|-$420.21|$336.25|$0.00|$420.21|
15|S25HH0, Vacuum Cleaner|1.00 EA|$204.72|$17.15|$221.87|4y/Avg./10y|-$88.75|$133.12|$0.00|$88.75|
16|Generic, Fashion Jewelry (various designs)|10.00 EA|$199.90|$16.74|$216.64|4y/Avg./0y|-$0.00|$216.64|$0.00|$0.00|
17|Raymour & Flanigan, Colebrook dining chair|1.00 EA|$189.95|$15.91|$205.86|4y/Avg./10y|-$82.34|$123.52|$0.00|$82.34|
18|Unipaws, Wide Dog Enclosure 144in|1.00 EA|$179.99|$15.07|$195.06|4y/Avg./5y|-$156.05|$39.01|$0.00|$156.05|
19|Everlane, Court Sneakers|1.00 EA|$130.00|$10.89|$140.89|4y/Avg./3y|-$112.71|$28.18|$0.00|$112.71|2
20|Solino Home, Checked Tablecloth 60in X 102in (Green)|1.00 EA|$69.99|$5.86|$75.85|4.5y/ Avg. /5y|-$60.68|$15.17|$0.00|$60.68|2
21|Floral Guard, Garden Hose|1.00 EA|$65.99|$5.53|$71.52|5 y/ Avg. /10 y|-$35.77|$35.75|$0.00|$35.77|2
22|Safavieh, Rug 4ft x 6 ft|1.00 EA|$49.99|$4.19|$54.18|4.5 y/ Avg. /10 y|-$24.39|$29.79|$0.00|$24.39|2
23|Safavieh, Rug 3ft ft|1.00 EA|$39.99|$3.35|$43.34|4.5 y/ Avg. /10 y|-$19.51|$23.83|$0.00|$19.51|2
24|Rubbermaid, Plastic Container- Clever Store 71 Qt, Clear, Latch|2.00 EA|$74.52|$6.24|$80.76|4y/Avg./10y|-$32.31|$48.45|$0.00|$32.31|2
25|Rubbermaid, Laundry Basket|1.00 EA|$35.99|$3.01|$39.00|4y/Avg./10y|-$15.60|$23.40|$0.00|$15.60|2
26|Matace, Boot Tray for entryway|1.00 EA|$35.99|$3.01|$39.00|4.5 y/ Avg. /10 y|-$17.55|$21.45|$0.00|$17.55|2
27|Keen Home Design, Kitchen Rug 2'x3' orange & white stripes|2.00 EA|$71.98|$6.03|$78.01|4y/Avg./10y|-$31.20|$46.81|$0.00|$31.20|2
28|Hudson Exchange, Plastic Crate 3in X 13inx 11in|1.00 EA|$34.62|$2.90|$37.52|4.5y/Avg./10y|-$16.89|$20.63|$0.00|$16.89|2
29|Ambesonne, Floral Tablecloth 60in x 90in (Red and Blue)|1.00 EA|$30.99|$2.60|$33.59|4.5y/ Avg. /5y|-$26.87|$6.72|$0.00|$26.87|2
30|Safavieh, Rug 2.3ft x 4ft|1.00 EA|$29.99|$2.51|$32.50|4.5 y/ Avg. /10 y|-$14.63|$17.87|$0.00|$14.63|2
31|ubdyo, Outdoor Mat- Entrance|1.00 EA|$24.99|$2.09|$27.08|3 y/ Avg. /10 y|-$8.13|$18.95|$0.00|$8.13|2
32|Rubbermaid, Wastepaper Basket (Recycle Logo)|1.00 EA|$24.99|$2.09|$27.08|4y/Avg./10y|-$10.84|$16.24|$0.00|$10.84|2
33|Cedar, Broom Angle|1.00 EA|$22.99|$1.93|$24.92|4y/Avg./10y|-$9.97|$14.95|$0.00|$9.97|2
34|VHC Brands, Dog Bone Rug|2.00 EA|$44.90|$3.76|$48.66|4y/Avg./10y|-$19.46|$29.20|$0.00|$19.46|2
35|35.4M, Kidz Robotix|1.00 EA|$19.95|$1.67|$21.62|4y/Avg./2y|-$17.30|$4.32|$0.00|$17.30|2
36|Dutch Crafters, Amish dothan hutch china cabinet|1.00 EA|$6,749.00|$565.23|$7,314.23|8 y/ Avg. /20 y|-$2,925.69|$4,388.54|$0.00|$2,925.69|2
37|Dutch Crafters, Amish oakland double pedestal dining table|1.00 EA|$2,439.00|$204.27|$2,643.27|8 y/ Avg. /20 y|-$1,057.31|$1,585.96|$0.00|$1,057.31|2
38|Safavieh, Cheery creek rug 10x14|1.00 EA|$1,667.00|$139.61|$1,806.61|6y/Avg./10y|-$1,083.97|$722.64|$0.00|$1,083.97|2
39|Glass Tops Direct, Oval Glass Top 42in X 72 in|1.00 EA|$1,049.90|$87.93|$1,137.83|5 y/ Avg. /20 y|-$284.46|$853.37|$0.00|$284.46|2
40|Singer, Sewing Machine Singer.com|1.00 EA|$299.99|$25.12|$325.11|5 y/ Avg. /20 y|-$81.28|$243.83|$0.00|$81.28|3
41|Celuce, Window Treatment Customized Red and Gold Swag Set|2.00 EA|$1,798.00|$150.58|$1,948.58|8 y/ Avg. /10 y|-$1,558.86|$389.72|$0.00|$1,558.86|3
42|Cedar Wood Furniture, Cedar garden bench|1.00 EA|$579.00|$48.49|$627.49|3.5 y/ Avg. /10 y|-$219.62|$407.87|$0.00|$219.62|3
43|Benjara, BM194960 fabric upholstered wooden Parson chair with paisley print set of 2|2.00 EA|$1,090.00|$91.29|$1,181.29|5y/Avg./10y|-$590.65|$590.64|$0.00|$590.65|3
44|Lenox, Meadow 7pc porcelain tea set Bloomingdales|1.00 EA|$170.00|$14.24|$184.24|8.5y/ Avg. /0 y|-$0.00|$184.24|$0.00|$0.00|3
45|Tiffany & Co, Floral Serving Bowl Verified, Tiffany|1.00 EA|$450.00|$37.69|$487.69|9 y/ Avg. /20 y|-$219.46|$268.23|$0.00|$219.46|3
